SKU,Stock_Level,Quantity,Equal
5262-0180-5501,7,2,False
076683825223,0,-15,False
10/22TSS,0,-16,False
10BAS223PIN,0,-35,False
10BAS308PIN,0,-823,False
10BAS65CPIN,0,190,False
10BASE223,0,945000,False
10BASE308,0,-77,False
10BASE65C,0,0,True
10BASE6C,0,-2,False
10BASEL223,0,28,False
10BASEL308,0,17,False
10BASEL65C,0,14,False
10BASEL6C,0,247,False
10BASL223PIN,0,0,True
10BASL308PIN,0,18,False
10BASL65CPIN,0,28,False
10FCP20,0,7,False
10FCP24,0,-40,False
10FCP65FDE,0,-52,False
10FCPHSP,0,-177,False
10FCPMCM,0,-226,False
10FLCP24,0,-126,False
10GRS308,1,-58,False
10GRS65C,1,58,False
10GRS6C,0,33,False
10PH204MAX,0,4,False
10PH223MAX,0,176,False
10PH225MAX,0,183,False
10PH243MAX,0,44,False
10PH260MAX,0,0,True
10PH6.5MAX,0,4,False
10TH22250,0,0,True
10TH223,0,16,False
10TH243,0,14,False
10TH308,0,0,True
110BAS300PIN,0,87,False
110BAS300WA,0,301,False
110BAS338PIN,0,163,False
110BAS338WA,1,217,False
110BASE300,0,68,False
110BASE338,0,0,True
110BASE338WA,0,106,False
110BASEL338,0,44,False
110BASL300PIN,0,114,False
110FCPHSP,0,-3,False
110FCPS300,0,19,False
110TH270,0,-220,False
110TH3006,0,6,False
111DH2506,0,0,True
111DH270,0,2,False
111DH3006,0,40,False
111DH300WIN,0,1,False
111DH338WIN,0,385,False
111DH65284,0,1990,False
111DH7MM,0,-5643000,False
111FCNS25,0,-324000,False
111FCNS270,0,-4483000,False
111FCNS300,0,-4024000,False
111FCNS306,0,-1608000,False
111FCNS7MM,0,-474000,False
111LRH300,0,593500,False
111LRH338,0,-158000,False
111LRH6528,0,144300,False
111LRH7MMR,0,774500,False
111LTH300,0,4581550,False
111LTH3006,0,-124960,False
111LTH7MM,0,-86000,False
111LW270,0,824950,False
111TH270,0,28500,False
111TH300,0,-273000,False
111TH3006,0,70950,False
111TH7MM,0,8500,False
112MTR,4,178500,False
114AC270,0,-156500,False
114AC300,0,-690500,False
114AC3006,0,-57500,False
114AC7MM,0,12,False
116ABH375,0,10,False
116BH300,0,216,False
116BH338,0,94,False
116BH375,0,57,False
116FCSS256,0,-161,False
116FCSS270,0,-6,False
116FCSS300,0,211,False
116FCSS306,0,76,False
116FCSS6.5,0,86,False
116FCSS7MM,0,93,False
116FLCSS270,0,177,False
116FLCSS300,0,1,False
116FLCSS3006,0,-350,False
116FLCSS7MM,0,40000,False
116TH270,0,25375,False
116TH300,0,54125,False
116TH3006,0,11000,False
116TH338,0,-500,False
116TH7MM,0,14425,False
11DH243,0,-23750,False
11DH260,0,150450,False
11DH270WSM,0,-265000,False
11DH300WSM,0,180000,False
11DH308,0,-43520,False
11DH338F,0,-17240,False
11DH65C,0,-21640,False
11DH708,0,-7760,False
11FCNS204,0,-15740,False
11FCNS2225,0,2898000,False
11FCNS223,0,-77,False
11FCNS243,0,56600,False
11FCNS308,0,10500,False
11FCNS708,0,169240,False
11HH223,0,68400,False
11HH308,0,5600,False
11LH308,0,43700,False
11LRH260,0,178300,False
11LRH308,0,40800,False
11LRH6.5,0,4030,False
11LTH22250,0,13510,False
11LTH223,0,3620,False
11LTH243,0,6120,False
11LTH270,0,109825,False
11LTH300,0,68250,False
11LTH308,0,6340,False
11LTH7MM,0,5951,False
11LW223,0,1,False
11LW243,0,22,False
11LW260,0,164,False
11LW308,0,38,False
11LW6.5CR,0,-295,False
11LW708,0,90,False
11TH22250,0,21,False
11TH223,0,-1049,False
11TH243,0,-206,False
11TH270,0,-172,False
11TH300,0,-67,False
11TH308,3,1,False
11TH7MM08,0,20,False
11THY243,0,4,False
11TPH22250,0,2,False
11TPH223,0,300,False
11TPH243,0,60600,False
11TPH65CRE,0,20,False
12BR308,0,-743000,False
12BR6.5284,0,39,False
12BR6MMNBR,0,122,False
12BTCSS204,0,8,False
12BTCSS223,0,71,False
12BTCSS225,0,19,False
12BVSS223,0,63,False
12F/TR,4,33,False
12F/TR223,1,264,False
12FC6.5284,0,118,False
12FC6MMNBR,0,118,False
12FV204,0,203,False
12FV22250,0,244,False
12FV223,0,53,False
12LRP204,0,72,False
12LRP22250,0,19,False
12LRP2237,0,0,True
12LRP2239,0,0,True
12LRP22509,0,194,False
12LRP243,1,0,False
12LRP260,0,155,False
12LRP6.5,0,-3,False
12LRP6MM8,0,82,False
12VLP204,0,23,False
12VLP2237,0,75,False
12VLP2239,0,11,False
12VLP22512,0,11,False
12VLP2259,2,9,False
12VLP243,1,134,False
12VLP308,0,468,False
12VLP30WSM,0,9,False
1357-10,0,7,False
1383-21,5,173,False
1393-33,4,0,False
1393-34,0,-24,False
1393-5,2,8,False
1393-6,15,-572,False
1393-8,8,-240,False
1393-9,2,-1064,False
1404-036,0,114,False
1404-44,2,17,False
1416DHB,0,47,False
1416DHBCLA,0,-2,False
4046654099591,0,-43,False
1416DHBTH18,0,-8,False
1416DHBTHBLUE,0,-3,False
1416LH,0,-113,False
1420-20/1,7,34,False
4046654011548,0,614,False
4046654011531,1,-366,False
14AC243,0,-197,False
14AC308,0,-61,False
14AC7MM08,0,-216,False
1515-11,1,0,False
15159,2,0,False
4046654098297,0,32,False
1516DHB,0,-1,False
1516DHBTH,0,-2,False
1516DHBTHBLUE,0,953,False
4046654098303,16,-35,False
1517DHB,0,-189,False
1517DHBTH,0,15,False
1517DHBTHBLUE,0,103,False
16BH300,0,6,False
16FCSS2225,0,7,False
16FCSS223,0,4,False
16FCSS243,1,1,True
16FCSS27WS,0,1,False
16FCSS308,0,6,False
16FCSS708,0,-119550,False
16FLCSS22250,0,2,False
16FLCSS223,0,90,False
16FLCSS243,0,20380,False
16FLCSS308,0,8000,False
16FLCSS708,0,11760,False
16TH22250,0,0,True
16TH223,0,5360,False
16TH243,0,-11740,False
16TH270,0,0,True
16TH300,0,0,True
16TH308,0,0,True
1710DHB,0,-1,False
1710DKL,0,181,False
1711619,0,5,False
1712SIL,0,47,False
1727F,0,51,False
1727F160,0,2,False
1727F22LR,0,5,False
1727FL,0,42,False
1771D17H,0,60,False
1771D204,0,15,False
1771D222,0,0,True
1771D223,0,1,False
1771D22HT,0,8,False
1771D300BO,0,28,False
4046654097849,0,-15,False
1781G3006,0,5,False
1827-15,2,7,False
1903,0,3,False
1A30850,0,15,False
1B65C,0,3,False
1RSI308S,0,42,False
1S35W,0,1450,False
1S44,0,17540,False
1V243,0,9760,False
2013BRL,0,512,False
212,0,226,False
212C,0,913,False
220,0,800,False
220CS,0,-56,False
25LV17,0,-36,False
25LV204,0,541,False
25LV22,0,56,False
25LV223,0,417,False
25LVT17,0,1,False
25LVT204,0,2,False
25WV17,0,18,False
25WV204,0,-525200,False
25WV22,0,-2960500,False
25WV222,0,73,False
25WV223,0,443,False
25WVC17,0,256,False
25WVC22,0,36,False
25WVC223,0,139,False
32DIN6799,1,44,False
080529400017,0,48,False
42T22LR410,9,24,False
42T22M410,0,6,False
42TC22LR410,6,-10,False
64182672051462,23,0,False
64182672051394,0,4,False
4HL5011,0,-3,False
4HL5012,0,2,False
